date,pnl
2021-01-11,-1050.00
2021-01-12,-1330.00
2021-01-13,2870.00
2021-01-14,-4060.00
2021-01-15,3430.00
2021-01-19,-1540.00
2021-01-20,70.00
2021-01-21,-280.00
2021-01-22,-420.00
2021-01-25,-1960.00
2021-01-26,840.00
2021-01-27,-3570.00
2021-01-28,3430.00
2021-01-29,280.00
2021-02-01,2031.40
2021-02-02,628.60
2021-02-03,2590.00
2021-02-04,-2030.00
