date,pnl
2007-06-12,-3290.00
2007-06-13,2820.00
2007-06-14,470.00
2007-06-15,470.00
2007-06-18,470.00
2007-06-19,940.00
2007-06-20,-940.00
2007-06-21,-940.00
2007-06-22,-1410.00
2007-06-25,470.00
2007-06-26,235.00
2007-06-27,3290.00
2007-06-28,940.00
2007-06-29,-1880.00
2007-07-02,1175.00
2007-07-03,1410.00
2007-07-05,235.00
2007-07-06,705.00
2007-07-09,705.00
2007-07-10,-235.00
2007-07-11,705.00
2007-07-12,-705.00
2007-07-13,235.00
2007-07-16,2115.00
2007-07-17,-352.50
2007-07-18,1292.50
2007-07-19,-352.50
2007-07-20,2467.50
2007-07-23,1175.00
2007-07-24,-3290.00
2007-07-25,2820.00
2007-07-26,-16215.00
